IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.245.37.89,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,168,10.88
47.245.7.212,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,173,10.88
8.219.92.89,2086,2086,FALSE,SIN,Asia Pacific,Singapore,10,10.88
8.219.134.117,8443,8443,TRUE,SIN,Asia Pacific,Singapore,182,10.87
8.219.110.88,2082,2082,FALSE,SIN,Asia Pacific,Singapore,14,10.87
47.245.56.207,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,164,10.87
47.245.52.240,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,167,10.87
47.74.20.100,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,171,10.87
47.236.173.200,8443,8443,TRUE,SIN,Asia Pacific,Singapore,74,10.87
8.218.22.210,8080,8080,FALSE,SJC,North America,San Jose,207,10.86
8.222.168.24,80,80,FALSE,SIN,Asia Pacific,Singapore,17,10.86
8.219.134.117,2053,2053,TRUE,SIN,Asia Pacific,Singapore,125,10.86
8.219.201.8,2052,2052,FALSE,SIN,Asia Pacific,Singapore,5,10.86
47.245.54.58,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,171,10.86
8.219.50.180,2086,2086,FALSE,SIN,Asia Pacific,Singapore,14,10.86
47.74.36.154,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,200,10.86
47.236.29.235,2053,2053,TRUE,SIN,Asia Pacific,Singapore,88,10.85
47.245.58.175,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,167,10.85
47.254.66.75,80,443,TRUE,SJC,North America,San Jose,181,10.85
8.219.152.195,8443,8443,TRUE,SIN,Asia Pacific,Singapore,112,10.85
8.222.180.242,2087,2087,TRUE,SIN,Asia Pacific,Singapore,81,10.85
47.245.54.98,2082,2082,FALSE,NRT,Asia Pacific,Tokyo,73,10.84
47.236.97.254,2087,2087,TRUE,SIN,Asia Pacific,Singapore,78,10.84
8.219.250.239,80,80,FALSE,SIN,Asia Pacific,Singapore,6,10.84
8.219.110.88,2096,2096,TRUE,SIN,Asia Pacific,Singapore,148,10.84
47.245.8.156,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,172,10.84
47.236.103.153,2083,2083,TRUE,SIN,Asia Pacific,Singapore,73,10.83
8.222.154.50,2086,2086,FALSE,SIN,Asia Pacific,Singapore,27,10.83
47.236.161.155,2096,2096,TRUE,SIN,Asia Pacific,Singapore,81,10.83
8.222.133.247,2086,2086,FALSE,SIN,Asia Pacific,Singapore,36,10.83
8.219.63.193,2083,2083,TRUE,SIN,Asia Pacific,Singapore,93,10.83
